"PlenumSessionID","Number","KnessetNum","Name","StartDate","FinishDate","IsSpecialMeeting","LastUpdatedDate"
9626,1,16,ישיבת מליאה בתאריך 17/02/2003 בשעה: 16:00,1899-12-30 16:00:00,,0,2013-10-03 16:21:47
9630,2,16,ישיבת מליאה בתאריך 18/02/2003 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 19:16:00,0,2013-10-03 16:21:47
9631,3,16,ישיבת מליאה בתאריך 19/02/2003 בשעה: 11:00,2003-02-19 11:00:00,1899-12-30 11:35:00,0,2013-10-03 16:21:47
9696,4,16,ישיבת מליאה בתאריך 24/02/2003 בשעה 16:00,1899-12-30 16:00:00,1899-12-30 20:04:00,0,2019-02-27 14:36:05
9699,5,16,ישיבת מליאה בתאריך 25/02/2003 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 17:00:00,0,2013-10-03 16:21:47
9862,6,16,ישיבת מליאה בתאריך 26/02/2003 בשעה: 11:00,2003-02-26 11:00:00,1899-12-30 14:46:00,0,2013-10-03 16:21:47
9867,7,16,ישיבת מליאה בתאריך 27/02/2003 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 12:40:00,0,2013-10-03 16:21:47
9889,8,16,ישיבת מליאה בתאריך 03/03/2003 בשעה: 16:00,2003-03-03 16:00:00,1899-12-30 19:18:00,0,2013-10-03 16:21:47
9892,9,16,ישיבת מליאה בתאריך 04/03/2003 בשעה: 16:00,2003-03-04 16:00:00,1899-12-30 20:10:00,0,2013-10-03 16:21:47
9893,10,16,ישיבת מליאה בתאריך 05/03/2003 בשעה: 11:00,1899-12-30 11:00:00,1899-12-30 17:53:00,0,2013-10-03 16:21:47
10105,11,16,ישיבת מליאה בתאריך 10/03/2003 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 20:06:00,0,2013-10-03 16:21:47
10106,12,16,ישיבת מליאה בתאריך 11/03/2003 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 20:00:00,0,2013-10-03 16:21:47
10107,13,16,ישיבת מליאה בתאריך 12/03/2003 בשעה: 11:00,2003-03-12 11:00:00,1899-12-30 20:25:00,0,2013-10-03 16:21:47
10480,14,16,ישיבת מליאה בתאריך 24/03/2003 בשעה: 16:00,2003-03-24 16:00:00,1899-12-30 19:03:00,0,2013-10-03 16:21:47
10481,15,16,ישיבת מליאה בתאריך 25/03/2003 בשעה: 16:00,2003-03-25 16:00:00,1899-12-30 20:16:00,0,2013-10-03 16:21:47
10482,16,16,ישיבת מליאה בתאריך 26/03/2003 בשעה: 11:00,2003-03-26 11:00:00,1899-12-30 23:20:00,0,2013-10-03 16:21:47
11088,17,16,ישיבת מליאה בתאריך 30/04/2003 בשעה 10:00,2003-04-30 10:00:00,1899-12-30 21:10:00,0,2020-03-03 16:08:04
11153,18,16,ישיבת מליאה בתאריך 05/05/2003 בשעה: 10:00,2003-05-05 10:00:00,1899-12-30 13:22:00,0,2013-10-03 16:21:47
11177,19,16,ישיבת מליאה בתאריך 12/05/2003 בשעה: 17:20,2003-05-12 17:20:00,1899-12-30 21:17:00,0,2013-10-03 16:21:47
11178,20,16,ישיבת מליאה בתאריך 13/05/2003 בשעה: 15:00,2003-05-13 15:00:00,1899-12-30 17:50:00,0,2013-10-03 16:21:47
11179,21,16,ישיבת מליאה בתאריך 14/05/2003 בשעה: 11:00,1899-12-30 11:00:00,1899-12-30 19:01:00,0,2013-10-03 16:21:47
11434,24,16,ישיבת מליאה בתאריך 21/05/2003 בשעה: 11:00,2003-05-21 11:00:00,1899-12-30 19:45:00,0,2013-10-03 16:21:47
11571,22,16,ישיבת מליאה בתאריך 19/05/2003 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 17:52:00,0,2013-10-03 16:21:47
11572,23,16,ישיבת מליאה בתאריך 20/05/2003 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 18:20:00,0,2013-10-03 16:21:47
11856,25,16,ישיבת מליאה בתאריך 26/05/2003 בשעה: 10:00,2003-05-26 10:00:00,1899-12-30 08:00:00,0,2013-10-03 16:21:47
11958,26,16,ישיבת מליאה בתאריך 02/06/2003 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 20:30:00,0,2013-10-03 16:21:47
12101,27,16,ישיבת מליאה בתאריך 03/06/2003 בשעה: 16:00,2003-06-03 16:00:00,1899-12-30 17:51:00,0,2013-10-03 16:21:47
12108,28,16,ישיבת מליאה בתאריך 04/06/2003 בשעה: 11:00,2003-06-04 11:00:00,1899-12-30 18:50:00,0,2013-10-03 16:21:47
12399,29,16,ישיבת מליאה בתאריך 09/06/2003 בשעה: 16:00,2003-06-09 16:00:00,1899-12-30 20:04:00,0,2013-10-03 16:21:47
12400,30,16,ישיבת מליאה בתאריך 10/06/2003 בשעה: 15:00,2003-06-10 15:00:00,1899-12-30 20:20:00,0,2013-10-03 16:21:47
12401,31,16,ישיבת מליאה בתאריך 11/06/2003 בשעה: 11:00,1899-12-30 11:00:00,1899-12-30 19:30:00,0,2013-10-03 16:21:47
12738,32,16,ישיבת מליאה בתאריך 16/06/2003 בשעה: 16:03,2003-06-16 16:03:00,1899-12-30 21:10:00,0,2013-10-03 16:21:47
12739,33,16,ישיבת מליאה בתאריך 17/06/2003 בשעה: 16:00,2003-06-17 16:00:00,1899-12-30 19:55:00,0,2013-10-03 16:21:47
12740,34,16,ישיבת מליאה בתאריך 18/06/2003 בשעה: 11:00,1899-12-30 11:00:00,1899-12-30 19:43:00,0,2013-10-03 16:21:47
13048,35,16,ישיבת מליאה בתאריך 23/06/2003 בשעה: 16:00,2003-06-23 16:00:00,1899-12-30 21:10:00,0,2013-10-03 16:21:47
13050,36,16,ישיבת מליאה בתאריך 24/06/2003 בשעה: 16:00,2003-06-24 16:00:00,1899-12-30 18:41:00,0,2013-10-03 16:21:47
13051,37,16,ישיבת מליאה בתאריך 25/06/2003 בשעה: 11:00,2003-06-25 11:00:00,1899-12-30 17:48:00,0,2013-10-03 16:21:47
13424,38,16,ישיבת מליאה בתאריך 30/06/2003 בשעה: 16:00,1899-12-30 16:00:00,1899-12-30 20:34:00,0,2013-10-03 16:21:47
13425,39,16,ישיבת מליאה בתאריך 01/07/2003 בשעה: 16:00,2003-07-01 16:00:00,1899-12-30 19:02:00,0,2013-10-03 16:21:47
